"GSP1","COS1","GSP2","COS2","GSP3","COS3","GSP4","COS4","GSP5","COS5","combined_pvalue","adjusted_pvalue","gene"
1.71203686890526e-12,0.242485554654346,1.21948932653537e-18,0.991257301993907,3.48654940192682e-21,0.431885847042696,5.88012741423531e-21,0.692494250291694,7.06851841841253e-19,0.000222073858936814,5.55e-17,1.90777392487625e-13,"RPS9"
1.06812499337306e-13,0.0331159558142762,3.3701965824614e-19,0.999733855600845,1.25218377902364e-20,0.648039178114404,5.576233262936e-19,0.222954024055016,1.93275847787351e-16,0.0186822150777536,5.55e-17,1.90777392487625e-13,"RPL41"
7.83545146472559e-26,0.183939341392105,2.72473751885062e-35,0.984090887747647,8.62005889438779e-38,0.98079607660967,4.58280705741853e-35,0.331942678852221,2.04998492661264e-30,0.539646355063668,5.55e-17,1.90777392487625e-13,"POSTN"
2.80306245545062e-15,0.00433589172140635,5.04386910605533e-20,0.99899498005706,4.5932591580973e-21,0.994565001844833,4.01586996893627e-19,0.281647146368121,6.31338636095692e-16,0.00548617623303544,5.55e-17,1.90777392487625e-13,"HLA-B"
1.11447068059451e-20,0.000782299156975183,1.26292543186019e-27,0.851186394406782,1.04785107884715e-26,0.828804022451982,3.15833030253466e-21,0.917587504449996,3.24780477086199e-16,0.317506018957325,5.55e-17,1.90777392487625e-13,"SPARC"
3.50566026601927e-22,0.00214483099181106,2.49075265050705e-29,0.999712441283762,4.52948296354013e-29,0.99996837148977,2.7853306992448e-24,0.540704363018963,2.18475819787918e-19,0.00834963899017705,5.55e-17,1.90777392487625e-13,"COL12A1"
4.32150417957753e-31,0.0171818077000999,5.60437909411271e-42,0.975560561463419,1.41701134655577e-42,0.997602442747777,2.61345477222053e-36,0.677889855587071,2.51730630136703e-29,0.377211188558328,5.55e-17,1.90777392487625e-13,"COL3A1"
3.17645638886499e-19,0.0223873077305051,2.5042588984234e-27,0.989075456820408,1.36160081191756e-28,0.968044737570269,6.05141760430904e-25,0.84151207916202,1.02381416939395e-20,0.269665292448173,5.55e-17,1.90777392487625e-13,"LUM"
9.56043757228262e-29,0.00077721279518725,1.10325447841472e-39,0.999693553014656,8.35613574160059e-42,0.991384728614164,2.66704760926045e-37,0.67818060098656,1.38705231521824e-30,0.000487544103631471,5.55e-17,1.90777392487625e-13,"B2M"
1.34221945463727e-14,0.014360747933921,2.83426132781317e-20,0.988652545944683,5.62182888704104e-21,0.693733379410437,4.29996264770828e-19,0.337124474302592,1.67859644059622e-16,0.000697459147249404,5.55e-17,1.90777392487625e-13,"RPL29"
1.41244847529764e-26,0.0035974135335151,1.4753043986283e-36,0.996829463446463,5.26685723199736e-37,0.730595139415241,5.43920886868774e-31,0.600780988335652,1.16448885497147e-24,0.551090288510293,5.55e-17,1.90777392487625e-13,"COL1A2"
